[RUN] id=run_20260211_071401Z started=2026-02-11T07:14:01Z finished=2026-02-11T07:15:07Z duration=65.5s mode=filter
[PATH] repo_root=/home/ubuntu/youtube/feb4/cobalt/src
[CONF] flavor=evergreen platform=evergreen-x64 out_dir=/home/ubuntu/youtube/feb4/cobalt/src/out/evergreen-x64_devel filters_dir=/home/ubuntu/youtube/feb4/cobalt/src/cobalt/testing/filters/evergreen-x64
[EXEC] workers=161 timeout_sec=60 retries=0 isolate_tmp=yes per_module_parallel=unlimited
[GIT] branch=main head=bd38dfe1bc31e185f0dc92abaa5566dc219ad60b head_date=2026-02-09T15:43:50-08:00 dirty=yes
[GIT] origin/main=bd38dfe1bc31e185f0dc92abaa5566dc219ad60b origin_main_date=2026-02-09T15:43:50-08:00
[SUMMARY] PASSED=143 FAILED=3 TIMEOUT=15 ERROR=0 SKIPPED=0
[FILES] index_html=/home/ubuntu/youtube/feb4/cobalt/src/filtered_runs/evergreen-x64__evergreen/run_20260211_071401Z/index.html updated_filters_dir=/home/ubuntu/youtube/feb4/cobalt/src/filtered_runs/evergreen-x64__evergreen/run_20260211_071401Z/updated_filters planned_tests=/home/ubuntu/youtube/feb4/cobalt/src/filtered_runs/evergreen-x64__evergreen/run_20260211_071401Z/planned_tests.txt results_jsonl=/home/ubuntu/youtube/feb4/cobalt/src/filtered_runs/evergreen-x64__evergreen/run_20260211_071401Z/test_summary.jsonl

module                | pattern                                                | status  | matched              | pass         | fail                                                                                                                                                                                                                                              | timeout | error | reason                                                                                                                                         
----------------------+--------------------------------------------------------+---------+----------------------+--------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------+-------+------------------------------------------------------------------------------------------------------------------------------------------------
base_perftests_loader | PartitionAllocMemoryAllocationPerfTest.*               | KEEP    | 144                  | 129          | 0                                                                                                                                                                                                                                                 | 15      | 0     | Failures remain: fail=0 timeout=15 error=0. Top: PartitionAllocMemoryAllocationPerfTest.DirectMapped/2 (TIMEOUT); PartitionAllocMemoryAlloca...
base_perftests_loader | StackTracePerfTest.*                                   | KEEP    | 3                    | 0            | 3                                                                                                                                                                                                                                                 | 0       | 0     | Failures remain: fail=3 timeout=0 error=0. Top: StackTracePerfTest.MultiObj/0 (FAILED: [  FAILED  ]); StackTracePerfTest.MultiObj/1 (FAILED:...
base_perftests_loader | JobPerfTest.*                                          | PASS    | 14                   | 14           | 0                                                                                                                                                                                                                                                 | 0       | 0     | All matched tests passed                                                                                                                       
                      |                                                        |         |                      |              |                                                                                                                                                                                                                                                   |         |       |                                                                                                                                                
module                | test                                                   | status  | note                 | duration_sec | log_file                                                                                                                                                                                                                                          |         |       |                                                                                                                                                
base_perftests_loader | PartitionAllocMemoryAllocationPerfTest.DirectMapped/10 | TIMEOUT | Timeout after 60s    | 60.980       | /home/ubuntu/youtube/feb4/cobalt/src/filtered_runs/evergreen-x64__evergreen/run_20260211_071401Z/test_logs/base_perftests_loader/base_perftests_loader__PartitionAllocMemoryAllocationPerfTest.DirectMapped_10__TIMEOUT__run_20260211_071401Z.log |         |       |                                                                                                                                                
base_perftests_loader | PartitionAllocMemoryAllocationPerfTest.DirectMapped/11 | TIMEOUT | Timeout after 60s    | 61.439       | /home/ubuntu/youtube/feb4/cobalt/src/filtered_runs/evergreen-x64__evergreen/run_20260211_071401Z/test_logs/base_perftests_loader/base_perftests_loader__PartitionAllocMemoryAllocationPerfTest.DirectMapped_11__TIMEOUT__run_20260211_071401Z.log |         |       |                                                                                                                                                
base_perftests_loader | PartitionAllocMemoryAllocationPerfTest.DirectMapped/13 | TIMEOUT | Timeout after 60s    | 61.195       | /home/ubuntu/youtube/feb4/cobalt/src/filtered_runs/evergreen-x64__evergreen/run_20260211_071401Z/test_logs/base_perftests_loader/base_perftests_loader__PartitionAllocMemoryAllocationPerfTest.DirectMapped_13__TIMEOUT__run_20260211_071401Z.log |         |       |                                                                                                                                                
base_perftests_loader | PartitionAllocMemoryAllocationPerfTest.DirectMapped/14 | TIMEOUT | Timeout after 60s    | 62.168       | /home/ubuntu/youtube/feb4/cobalt/src/filtered_runs/evergreen-x64__evergreen/run_20260211_071401Z/test_logs/base_perftests_loader/base_perftests_loader__PartitionAllocMemoryAllocationPerfTest.DirectMapped_14__TIMEOUT__run_20260211_071401Z.log |         |       |                                                                                                                                                
base_perftests_loader | PartitionAllocMemoryAllocationPerfTest.DirectMapped/16 | TIMEOUT | Timeout after 60s    | 60.173       | /home/ubuntu/youtube/feb4/cobalt/src/filtered_runs/evergreen-x64__evergreen/run_20260211_071401Z/test_logs/base_perftests_loader/base_perftests_loader__PartitionAllocMemoryAllocationPerfTest.DirectMapped_16__TIMEOUT__run_20260211_071401Z.log |         |       |                                                                                                                                                
base_perftests_loader | PartitionAllocMemoryAllocationPerfTest.DirectMapped/17 | TIMEOUT | Timeout after 60s    | 60.733       | /home/ubuntu/youtube/feb4/cobalt/src/filtered_runs/evergreen-x64__evergreen/run_20260211_071401Z/test_logs/base_perftests_loader/base_perftests_loader__PartitionAllocMemoryAllocationPerfTest.DirectMapped_17__TIMEOUT__run_20260211_071401Z.log |         |       |                                                                                                                                                
